date,gallons,price,miles,car
3/20/2005,10.285,2.329,244.4,Mitsubishi
3/26/2005,11.022,2.419,287.8,Mitsubishi
4/6/2005,11.833,2.599,293.1,Mitsubishi
4/14/2005,12.894,2.639,276.8,Mitsubishi
4/17/2005,11.379,2.859,308,Mitsubishi
4/25/2005,11.945,2.679,303.4,Mitsubishi
5/3/2005,12.876,2.779,302.8,Mitsubishi
5/13/2005,12.419,2.499,276.7,Mitsubishi
5/25/2005,12.748,2.439,267,Mitsubishi
6/8/2005,13.068,2.339,261.9,Mitsubishi
6/20/2005,12.648,2.319,235,Mitsubishi
7/6/2005,12.194,2.479,256,Mitsubishi
7/29/2005,12.722,2.559,252,Mitsubishi
8/12/2005,12.714,2.739,248.1,Mitsubishi
8/30/2005,12.533,2.859,240.6,Mitsubishi
9/17/2005,12.279,2.959,242.5,Mitsubishi
10/8/2005,13.132,2.999,240.7,Mitsubishi
10/22/2005,11.815,2.859,254.8,Mitsubishi
11/12/2005,12.6,2.799,243.3,Mitsubishi
11/26/2005,12.029,2.399,255.8,Mitsubishi
12/11/2005,12.468,2.159,256.8,Mitsubishi
1/11/2006,12.029,2.399,257.8,Mitsubishi
1/29/2006,12.139,2.539,258.8,Mitsubishi
2/17/2006,13.047,2.459,259.8,Mitsubishi
4/5/2006,12.763,2.799,260.8,Mitsubishi
5/3/2006,12.267,3.359,193.2,Mitsubishi
5/27/2006,11.182,3.219,245,Mitsubishi
6/11/2006,12.086,3.129,254.4,Mitsubishi
7/1/2006,12.139,3.099,260.8,Mitsubishi
7/15/2006,12.551,3.099,239.2,Mitsubishi
8/11/2006,12.582,3.099,255,Mitsubishi
9/5/2006,12.258,2.879,227.2,Mitsubishi
9/22/2006,12,2.639,230,Mitsubishi
10/13/2006,11.894,2.459,240.1,Mitsubishi
11/14/2006,12.783,2.399,246.7,Mitsubishi
12/7/2006,12.335,2.439,247.7,Mitsubishi
12/23/2006,12.254,2.569,226.3,Mitsubishi
1/8/2007,13.155,2.679,252.2,Mitsubishi
1/28/2007,12.389,2.709,243.3,Mitsubishi
2/17/2007,11.835,2.779,236.9,Mitsubishi
3/7/2007,13.051,3.039,237,Mitsubishi
4/1/2007,12.207,3.399,250.8,Mitsubishi
5/22/2007,12.703,3.439,228.1,Mitsubishi
6/14/2007,12.38,3.289,248.4,Mitsubishi
7/14/2007,12.274,3.199,234.7,Mitsubishi
8/14/2007,12.915,2.939,258.1,Mitsubishi
9/6/2007,12.179,2.919,220.8,Mitsubishi
10/10/2007,12.431,3.079,239.2,Mitsubishi
11/9/2007,13.085,3.459,248.3,Mitsubishi
12/4/2007,12.815,3.419,234.1,Mitsubishi
1/7/2008,12.542,3.379,231,Mitsubishi
2/7/2008,12.853,3.159,240.3,Mitsubishi
3/18/2008,12.65,3.659,245.6,Mitsubishi
4/15/2008,12.246,3.899,233.9,Mitsubishi
5/9/2008,11.961,3.939,229.4,Mitsubishi
5/29/2008,12.463,4.259,242,Mitsubishi
7/24/2008,13.048,4.399,229,Mitsubishi
8/28/2008,12.353,3.999,242.7,Mitsubishi
9/15/2008,12.617,3.879,242.7,Mitsubishi
10/6/2008,12.549,3.679,250.9,Mitsubishi
10/24/2008,12.362,3.379,245.7,Mitsubishi
11/16/2008,12.927,2.459,252.2,Mitsubishi
12/10/2008,12.547,1.819,274.3,Mitsubishi
1/9/2009,13.211,1.959,239.9,Mitsubishi
2/4/2009,12.798,2.179,227.6,Mitsubishi
2/28/2009,12.47,2.259,262.5,Mitsubishi
3/18/2009,12.667,2.139,267.6,Mitsubishi
4/4/2009,13.081,2.319,244,Mitsubishi
4/29/2009,12.645,2.299,233,Mitsubishi
5/19/2009,11.662,2.599,215.7,Mitsubishi
6/4/2009,12.164,2.859,253.3,Mitsubishi
6/19/2009,11.797,3.039,225.5,Mitsubishi
7/4/2009,12.583,2.999,261.2,Mitsubishi
7/17/2009,12.11,2.899,238.2,Mitsubishi
7/30/2009,12.48,2.899,252.5,Mitsubishi
8/12/2009,11.935,3.099,253,Mitsubishi
9/8/2009,12.785,3.139,278.8,Mitsubishi
9/22/2009,12.745,3.199,272.2,Mitsubishi
10/7/2009,13.239,3.159,265.1,Mitsubishi
10/21/2009,12.68,3.039,285.9,Mitsubishi
11/4/2009,12.815,3.039,253,Mitsubishi
11/27/2009,11.526,2.959,289.7,Mitsubishi
12/5/2009,12.533,2.99,254.7,Mitsubishi
12/21/2009,11.354,2.899,243.2,Mitsubishi
1/27/2010,9.871,3.039,219,Mitsubishi
2/5/2010,12.906,2.899,225.4,Mitsubishi
2/28/2010,11.476,3.059,264.1,Mitsubishi
3/18/2010,12.385,3.139,222.6,Mitsubishi
4/29/2010,12.464,3.139,236.3,Mitsubishi
5/19/2010,11.744,3.159,233.3,Mitsubishi
6/9/2010,11.919,3.139,195.7,Mitsubishi
6/30/2010,12.03,3.179,213.6,Mitsubishi
7/17/2010,10.972,3.199,203,Mitsubishi
8/11/2010,12.386,3.259,239,Mitsubishi
9/1/2010,11.908,3.119,233.8,Mitsubishi
9/20/2010,11.915,3.059,223.2,Mitsubishi
10/14/2010,11.772,3.199,218.1,Mitsubishi
11/3/2010,12.121,3.159,218,Mitsubishi
11/23/2010,12.165,3.259,218.4,Mitsubishi
12/16/2010,11.643,3.359,219.4,Mitsubishi
1/14/2011,12.007,3.399,192.7,Mitsubishi
2/15/2011,12.023,3.489,208.2,Mitsubishi
2/28/2011,11.948,3.779,186.7,Mitsubishi
3/28/2011,12.32,4.099,208.1,Mitsubishi
4/20/2011,11.942,4.259,205.5,Mitsubishi
5/18/2011,12.301,4.359,236.7,Mitsubishi
6/1/2011,12.059,4.059,190.9,Mitsubishi
6/27/2011,12.803,3.799,206.7,Mitsubishi
7/19/2011,12.791,3.859,211.4,Mitsubishi
8/13/2011,12.189,3.799,179,Mitsubishi
9/3/2011,10.053,3.999,261.6,Mitsubishi
9/16/2011,12.362,3.999,242.3,Mitsubishi
10/5/2011,12.582,3.799,235.1,Mitsubishi
10/25/2011,12.501,3.899,258.9,Mitsubishi
11/16/2011,11.493,3.859,197.2,Mitsubishi
12/19/2011,13.007,3.599,216.6,Mitsubishi
2/1/2012,11.901,3.799,197,Mitsubishi
3/4/2012,12.731,4.399,215.7,Mitsubishi
3/27/2012,12.586,4.399,159.2,Mitsubishi
4/17/2012,9.919,4.279,213.3,Mitsubishi
5/9/2012,12.656,4.299,225.3,Mitsubishi
5/31/2012,12.839,4.379,193.9,Mitsubishi
